Wavelength [nm],Absolute Responsivity [A/W],Relative Expanded Uncertainty (k=2) [%]
200.0,0.0965,6.0
210.0,0.0938,3.9
220.0,0.0907,2.0
230.0,0.0907,2.0
240.0,0.093,2.0
250.0,0.0843,2.0
260.0,0.075,2.0
270.0,0.0679,1.1
280.0,0.0714,1.1
290.0,0.0829,1.1
300.0,0.101,1.1
310.0,0.111,1.0
320.0,0.118,1.1
330.0,0.121,1.1
340.0,0.124,1.1
350.0,0.126,0.56
360.0,0.124,0.5
370.0,0.127,0.48
380.0,0.1692,0.46
390.0,0.1872,0.4
400.0,0.2016,0.38
410.0,0.2148,0.34
420.0,0.2256,0.32
430.0,0.2364,0.3
440.0,0.2472,0.28
450.0,0.2568,0.24
460.0,0.2664,0.24
470.0,0.2748,0.22
480.0,0.2844,0.22
490.0,0.2952,0.22
500.0,0.3036,0.22
510.0,0.26,0.22
520.0,0.267,0.2
530.0,0.272,0.2
540.0,0.279,0.2
550.0,0.286,0.2
560.0,0.292,0.2
570.0,0.299,0.2
580.0,0.306,0.2
590.0,0.312,0.2
600.0,0.318,0.2
610.0,0.324,0.2
620.0,0.331,0.2
630.0,0.337,0.2
640.0,0.343,0.2
650.0,0.35,0.2
660.0,0.357,0.2
670.0,0.363,0.2
680.0,0.369,0.2
690.0,0.376,0.2
700.0,0.382,0.2
710.0,0.389,0.2
720.0,0.395,0.2
730.0,0.402,0.2
740.0,0.409,0.2
750.0,0.418,0.2
760.0,0.42,0.2
770.0,0.426,0.2
780.0,0.433,0.2
790.0,0.437,0.2
800.0,0.442,0.2
810.0,0.446,0.2
820.0,0.449,0.2
830.0,0.45,0.2
840.0,0.449,0.2
850.0,0.448,0.2
860.0,0.443,0.2
870.0,0.436,0.2
880.0,0.427,0.2
890.0,0.416,0.2
900.0,0.402,0.2
910.0,0.385,0.2
920.0,0.366,0.2
930.0,0.344,0.2
940.0,0.32,0.2
950.0,0.295,0.2
960.0,0.268,0.72
970.0,0.241,0.82
980.0,0.213,0.94
990.0,0.186,1.0
1000.0,0.159,1.2
1010.0,0.133,1.0
1020.0,0.109,1.4
1030.0,0.0858,1.6
1040.0,0.066,1.8
1050.0,0.0491,2.0
1060.0,0.0355,2.2
1070.0,0.0264,2.4
1080.0,0.0205,2.6
1090.0,0.0159,2.8
1100.0,0.0122,2.9
